,plantname,date,batch,sample,amplicon,frac,cooc,count,mut_all,mut_oneless,BR,EU,UK,ZA,IN2,IN1,IN3,AY42,mu,om
46,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,93,,,0,0,0,,,1.0,,,,,,,
47,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,76,,,0,0,0,1.0,,,1.0,,,,,,
48,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,73,,,0,0,0,,,,1.0,,,,,,
49,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,91,,,0,0,0,,,,,1.0,,,,,
50,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,76,,,0,0,0,,,,,,1.0,1.0,,,
51,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,76,,,0,0,0,,,,,1.0,,,1.0,,
52,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,73,,,0,0,0,,,,,,,,1.0,,
53,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,91,,,0,0,0,,,,,,,,1.0,,
54,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,92,,,0,0,0,,,,,,,,,1.0,
55,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,72,,,0,0,0,,,,,,,,,,1.0
56,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,75,,,0,0,0,,,,,,,,,,1.0
57,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,76,,,0,0,0,,,,,,,,,,1.0
58,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,78,,,0,0,0,,,,,,,,,,1.0
59,Lugano (TI),2021-12-03,20211217_HVTWGDRXY,05_2021_12_03,88,,,0,0,0,,,,,,,,,,1.0
60,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,71,,,0,0,0,1.0,,,,,,,,,
61,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,95,0.0,2.0,33,0,0,1.0,,,,,,,,,
62,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,77,,,0,0,0,,1.0,,,,,,,,
63,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,72,,,0,0,0,,,1.0,,,,,,,
64,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,78,,,0,0,0,,,1.0,,,,,,,
65,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,92,,,0,0,0,,,1.0,,,,,,,
66,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,93,,,0,0,0,,,1.0,,,,,,,
67,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,76,,,0,0,0,1.0,,,1.0,,,,,,
68,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,73,,,0,0,0,,,,1.0,,,,,,
69,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,91,,,0,0,0,,,,,1.0,,,,,
70,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,76,,,0,0,0,,,,,,1.0,1.0,,,
71,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,76,,,0,0,0,,,,,1.0,,,1.0,,
72,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,73,,,0,0,0,,,,,,,,1.0,,
73,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,91,,,0,0,0,,,,,,,,1.0,,
74,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,92,,,0,0,0,,,,,,,,,1.0,
75,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,72,,,0,0,0,,,,,,,,,,1.0
76,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,75,,,0,0,0,,,,,,,,,,1.0
77,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,76,,,0,0,0,,,,,,,,,,1.0
78,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,78,,,0,0,0,,,,,,,,,,1.0
79,Lugano (TI),2021-12-04,20211217_HVTWGDRXY,05_2021_12_04,88,,,0,0,0,,,,,,,,,,1.0
80,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,71,,,0,0,0,1.0,,,,,,,,,
81,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,95,,,0,0,0,1.0,,,,,,,,,
82,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,77,,,0,0,0,,1.0,,,,,,,,
83,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,72,,,0,0,0,,,1.0,,,,,,,
84,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,78,,,0,0,0,,,1.0,,,,,,,
85,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,92,,,0,0,0,,,1.0,,,,,,,
86,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,93,,,0,0,0,,,1.0,,,,,,,
87,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,76,,,0,0,0,1.0,,,1.0,,,,,,
88,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,73,,,0,0,0,,,,1.0,,,,,,
89,Lugano (TI),2021-12-05,20211217_HVTWGDRXY,05_2021_12_05,91,,,0,0,0,,,,,1.0,,,,,
